iso_code,continent,country,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_vaccinations_smoothed_per_million,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,total_deaths_per_hundred,total_deaths_per_ratio,cid
PRY,South America,Paraguay,131886.0,969.0,2694.0,12.0,19673.323,0.000969,0.002694,1.2e-05,1133.0,55.56,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5.0,21.6,79.602,1.3,74.25,0.728,6780745.0,26.94,0.0003973014764601825,154
PER,South America,Peru,1093938.0,11031.0,99910.0,499.0,32446.172,0.011031,0.09991,0.000499,1133.0,61.11,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,31.2,47.964,1.6,76.74,0.777,34049588.0,999.1,0.0029342498945949067,155
PHL,Asia,Philippines,475820.0,1756.0,9248.0,4.0,4178.246,0.001756,0.009248,4e-06,1133.0,66.2,351.873,25.2,4.803,2.661,7599.188,2.2,370.437,7.07,7.8,40.8,78.463,1.0,71.23,0.718,115559008.0,92.47999999999999,8.002837822906891e-05,156
POL,Europe,Poland,1513385.0,4711.0,37180.0,98.0,39505.999,0.004711,0.03718,9.8e-05,1683.0,71.3,124.027,41.8,16.763,10.202,27216.445,2.2,227.331,5.91,23.3,33.1,47.964,6.62,78.73,0.88,39857144.0,371.79999999999995,0.0009328315144707809,157
PRT,Europe,Portugal,720516.0,9498.0,12482.0,303.0,70020.29,0.009498,0.012482,0.000303,1134.0,87.96,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,47.964,3.39,82.05,0.864,10270857.0,124.82000000000001,0.0012152832037287638,158
QAT,Asia,Qatar,153296.0,398.0,250.0,1.0,57024.776,0.000398,0.00025,1e-06,1590.0,68.52,227.322,31.9,1.307,0.617,116935.6,2.2,176.69,16.52,0.8,26.9,47.964,1.2,80.23,0.848,2695131.0,2.5,9.275986955736104e-05,159
ROU,Europe,Romania,735484.0,2752.0,18600.0,87.0,38051.671,0.002752,0.0186,8.7e-05,1464.0,76.85,85.129,43.0,17.85,11.69,23313.199,5.7,370.946,9.74,22.9,37.1,47.964,6.892,76.05,0.828,19659270.0,185.99999999999997,0.0009461185486541463,160
RUS,Europe,Russia,3733692.0,17464.0,69971.0,580.0,25731.365,0.017464,0.069971,0.00058,612.0,50.46,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,47.964,8.05,72.58,0.824,144713312.0,699.71,0.0004835146057606642,161
RWA,Africa,Rwanda,21106.0,131.0,297.0,2.0,1567.834,0.000131,0.000297,2e-06,279.0,71.3,494.869,20.3,2.974,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,2.397,69.02,0.543,13776702.0,2.97,2.1558134885983597e-05,162
KNA,North America,Saint Kitts and Nevis,2774.0,7.0,28.0,0.0,58269.966,7e-06,2.8e-05,0.0,1867.0,47.24,212.865,30.626080159524133,6.614,3.915,24654.385,2.2,242.648,12.84,6.2,31.2,47.964,2.3,76.23,0.779,47681.0,0.27999999999999997,0.0005872360059562509,163
LCA,North America,Saint Lucia,5430.0,14.0,86.0,0.0,30225.102,1.4e-05,8.6e-05,0.0,639.0,47.24,293.187,34.9,9.721,6.405,12951.839,2.2,204.62,11.62,6.2,31.2,87.202,1.3,76.2,0.759,179872.0,0.86,0.0004781177726383206,164
SPM,North America,Saint Pierre and Miquelon,2727.0,0.0,1.0,0.0,463539.011,0.0,1e-06,0.0,1133.0,47.24,85.129,30.626080159524133,6.614,3.915,13111.214,2.2,242.648,7.11,6.2,31.2,47.964,2.397,81.07,0.75,5885.0,0.01,0.0001699235344095157,165
VCT,North America,Saint Vincent and the Grenadines,2320.0,0.0,12.0,0.0,22236.706,0.0,1.2e-05,0.0,6358.0,47.24,281.787,31.8,7.724,4.832,10727.146,2.2,252.675,11.62,6.2,31.2,47.964,2.6,72.53,0.738,103959.0,0.12000000000000001,0.00011543012149020286,166
